r,reward_mode,cost_setting,n,episode_violation_rate_mean,episode_violation_rate_sd,episode_violation_rate_ci_low,episode_violation_rate_ci_high,intervention_freq_mean,intervention_freq_sd,intervention_freq_ci_low,intervention_freq_ci_high,intervention_mag_mean,intervention_mag_sd,intervention_mag_ci_low,intervention_mag_ci_high,control_effort_mean,control_effort_sd,control_effort_ci_low,control_effort_ci_high,elapsed_s_mean,elapsed_s_sd,elapsed_s_ci_low,elapsed_s_ci_high
2,constraint_seeking,regularized rw=0.25,20.0,0.45,0.5104177855340405,0.25,0.65,0.8422347363529136,0.14434279362995137,0.7774959213291582,0.8982446084851861,0.5944941143979918,0.1515114484575039,0.5294059678077775,0.659582727167909,92.39796438600362,32.93725264860037,79.04968528974672,106.99817409227371,4.923075473308563,1.873382673072601,4.12654069274664,5.690810570418834
2,constraint_seeking,regularized rw=1,20.0,0.45,0.5104177855340405,0.25,0.65,0.8349378901476368,0.16470353173385058,0.7540818731765588,0.8982065328467155,0.5886705987766472,0.1471027378021387,0.5270791195024952,0.6475706922366228,92.66318897762889,33.60385594983875,78.83059677697575,106.66374114677441,4.961727893352508,1.9296468026986247,4.166291588842869,5.724769119918346
2,constraint_seeking,regularized rw=4,20.0,0.45,0.5104177855340405,0.25,0.6512499999999932,0.8285968991084433,0.1639145254733216,0.751629127318209,0.8893003405028254,0.5966981824091373,0.14935891178105531,0.5326755192201728,0.6570827093152988,92.93019653913981,33.07938727467497,78.61669274916822,106.31387717288978,4.944437861442566,1.909007962720257,4.124104699194431,5.764506416022778
2,horizon_exhaustion,blended alpha=0.25,120.0,0.4166666666666667,0.49507377148833714,0.3333333333333333,0.5,0.7551940011249038,0.22180017655917195,0.71405643590947,0.793707715306433,0.5592485088772461,0.2374360816630346,0.5173807816766106,0.6012866069020104,91.23070978444039,38.59657708322534,84.42492515301973,98.28875859611672,5.2179831743240355,2.0355599670116935,4.844721497595311,5.575532763451338
2,horizon_exhaustion,blended alpha=0.5,120.0,0.4166666666666667,0.49507377148833714,0.325,0.5,0.7552913935763624,0.2251718349677127,0.7137689305602605,0.7936050001372076,0.559186448056744,0.24004906512064397,0.5169502495322039,0.6024200170823414,91.23167270596875,38.62249908280954,84.50768156007186,98.20867738806353,5.2074758013089495,2.035905433877767,4.831680046419303,5.580420691221953
2,horizon_exhaustion,blended alpha=0.75,120.0,0.4166666666666667,0.49507377148833714,0.325,0.5083333333333333,0.757092145461066,0.22628776838303205,0.7144544630433858,0.7956557055512753,0.559575596944465,0.23849503230239824,0.5192380057253505,0.5998178985378173,91.08135411714089,38.15578855034701,84.51542110979211,98.30372656953881,5.1987861851851145,2.0335045536546863,4.834234711974859,5.558608394265175
2,horizon_exhaustion,regularized rw=0.25,120.0,0.4166666666666667,0.49507377148833714,0.3333333333333333,0.5,0.7730376500006919,0.20632909244866995,0.7363143461453522,0.8100814666765815,0.5499042204936588,0.2379721253486375,0.5067230224517345,0.5939627213987009,90.72400639956004,38.863558738460725,83.94723119310457,97.80121396710804,5.081605086723964,1.9321142948678591,4.752717449367046,5.4289222338795655
2,horizon_exhaustion,regularized rw=1,120.0,0.4166666666666667,0.49507377148833714,0.3333333333333333,0.5083333333333333,0.7719683277139727,0.2104269683964183,0.7340045984193424,0.8069292404729707,0.5491707529308913,0.2399550697492528,0.5064098022105997,0.5934161100833132,90.77374608403586,39.607068100799445,84.29728282709061,98.27807679194858,5.092702241738637,1.9322013865834367,4.735651165296634,5.43570427775383
2,horizon_exhaustion,regularized rw=4,120.0,0.4166666666666667,0.49507377148833714,0.333125,0.5083333333333333,0.7675254173277338,0.21386915150072455,0.7287715725753022,0.804511214481896,0.5471653340674133,0.2416772223246572,0.5038112665013839,0.5920073837644864,90.38242679140879,38.24185779516337,83.6163059271266,97.7969569540169,5.0462575932343805,1.961649144823627,4.693658769031366,5.41676518857479
2,intervention_maximizing,blended alpha=0.25,20.0,0.2,0.4103913408340617,0.05,0.4,0.7562688908527873,0.1730833021347865,0.6789124950155404,0.8240152512722646,0.6031935404423943,0.26155210306294946,0.4827840470058158,0.7028776560000232,73.8949700198164,34.99279507153154,58.602234347482266,88.7533426152502,5.884076106548309,1.5746215291460885,5.159669330120086,6.470044039785862
